codProducto,nombre,kcal,tipoPostre,precioSinIVA,tipoIVA,precioConIVA,stock
CODPOS001,Mochi de matcha,227,TipoPostre.MOCHI,2.53,IVA_DIEZ,2.78,20
CODPOS002,Mochi de judías rojas (anko),207,TipoPostre.MOCHI,3.66,IVA_DIEZ,4.03,20
CODPOS003,Mochi de cacahuetes,119,TipoPostre.MOCHI,1.59,IVA_DIEZ,1.75,20
CODPOS004,Mochi de sésamo,212,TipoPostre.MOCHI,2.77,IVA_DIEZ,3.05,20
CODPOS005,Mochi de taro,274,TipoPostre.MOCHI,2.63,IVA_DIEZ,2.89,20
CODPOS006,Mochi de Chocolate,194,TipoPostre.MOCHI,1.5,IVA_DIEZ,1.65,20
CODPOS007,Mochi de Fresa,299,TipoPostre.MOCHI,1.9,IVA_DIEZ,2.09,20
CODPOS008,Mochi de Mango,179,TipoPostre.MOCHI,1.51,IVA_DIEZ,1.66,20
CODPOS009,Mochi de Melón,210,TipoPostre.MOCHI,3.91,IVA_DIEZ,4.3,20
CODPOS010,Mochi de Coco,211,TipoPostre.MOCHI,1.27,IVA_DIEZ,1.4,20
CODPOS011,Melocotón,53,TipoPostre.FRUTITA,2.64,IVA_DIEZ,2.9,20
CODPOS012,Maní,85,TipoPostre.FRUTITA,1.48,IVA_DIEZ,1.63,20
CODPOS013,Fresa,136,TipoPostre.FRUTITA,1.22,IVA_DIEZ,1.34,20
CODPOS014,Mango,73,TipoPostre.FRUTITA,4.09,IVA_DIEZ,4.5,20
CODPOS015,Cereza,128,TipoPostre.FRUTITA,2.02,IVA_DIEZ,2.22,20
CODPOS016,Níspero,71,TipoPostre.FRUTITA,2.67,IVA_DIEZ,2.94,20
CODPOS017,Manzana,90,TipoPostre.FRUTITA,1.68,IVA_DIEZ,1.85,20
CODPOS018,Melón,117,TipoPostre.FRUTITA,2.95,IVA_DIEZ,3.25,20
CODPOS019,Guayaba,121,TipoPostre.FRUTITA,4.36,IVA_DIEZ,4.8,20
CODPOS020,Chirimoya,103,TipoPostre.FRUTITA,4.01,IVA_DIEZ,4.41,20
CODPOS021,Pitahaya,110,TipoPostre.FRUTITA,3.68,IVA_DIEZ,4.05,20
CODPOS022,Sandía,116,TipoPostre.FRUTITA,2.14,IVA_DIEZ,2.35,20
CODPOS023,Pera,127,TipoPostre.FRUTITA,3.85,IVA_DIEZ,4.24,20
CODPOS024,Uva,129,TipoPostre.FRUTITA,2.32,IVA_DIEZ,2.55,20
CODPOS025,Cheesecake de limón 24,333,TipoPostre.OTROS,3.63,IVA_DIEZ,3.99,20
CODPOS026,Pastel de fresas 25,448,TipoPostre.OTROS,4.09,IVA_DIEZ,4.5,20
CODPOS027,Gofres con miel 26,263,TipoPostre.OTROS,2.82,IVA_DIEZ,3.1,20
CODPOS028,Tarta de manzana 27,316,TipoPostre.OTROS,2.02,IVA_DIEZ,2.22,20
CODPOS029,Helado de vainilla 28,487,TipoPostre.OTROS,1.35,IVA_DIEZ,1.49,20
CODPOS030,Helado de mango 29,397,TipoPostre.OTROS,1.72,IVA_DIEZ,1.89,20
CODPOS031,Tarta de frambuesa 30,349,TipoPostre.OTROS,3.76,IVA_DIEZ,4.14,20
